48502	0	0	1	0
22367	0	1	1	0
24877	0	1	2	0
38223	0	2	2	0
10652	0	2	3	0
26723	0	2	4	0
22368	1	2	4	0
2429	1	2	5	0
24878	2	2	5	0
38224	3	2	5	0
10653	4	2	5	0
37618	4	2	6	0
2144	4	2	7	0
26724	5	2	7	0
29105	5	2	8	0
38599	5	2	8	1
20227	5	3	8	1
6034	5	3	9	1
40646	5	3	10	1
1201	5	4	10	1
39142	5	4	11	1
43340	5	5	11	1
36833	5	6	11	1
25756	5	6	11	2
27749	5	6	11	3
45473	5	6	11	4
22369	6	6	11	4
30668	6	6	11	5
23112	6	6	11	6
20199	6	6	12	6
25283	6	7	12	6
2430	7	7	12	6
2761	7	7	13	6
23005	7	8	13	6
47787	7	8	13	7
43619	7	8	13	8
26308	7	8	14	8
41653	7	8	14	9
33924	7	8	14	10
41666	7	9	14	10
18475	7	9	15	10
36758	7	9	15	11
24521	7	9	16	11
24879	8	9	16	11
23077	8	9	16	12
27537	8	10	16	12
21180	8	11	16	12
20659	8	12	16	12
43236	8	12	17	12
35960	8	12	18	12
38225	9	12	18	12
46377	9	13	18	12
25561	9	13	18	13
37329	9	13	18	14
24432	9	13	18	15
10654	10	13	18	15
20542	10	14	18	15
37619	11	14	18	15
45310	11	15	18	15
39584	11	15	19	15
39012	11	15	19	16
45198	11	15	20	16
2145	12	15	20	16
21934	12	16	20	16
26725	13	16	20	16
43053	13	16	20	17
37098	13	16	20	18
29106	14	16	20	18
8399	14	16	21	18
42199	14	16	21	19
42458	14	16	21	20
38600	15	16	21	20
33489	15	16	22	20
20228	16	16	22	20
6035	17	16	22	20
2231	17	17	22	20
20470	17	18	22	20
40647	18	18	22	20
1202	19	18	22	20
24819	19	18	22	21
7049	19	18	23	21
22333	19	18	24	21
39143	20	18	24	21
36153	20	18	25	21
6920	20	19	25	21
15952	20	19	26	21
43341	21	19	26	21
12386	21	19	27	21
19207	21	19	28	21
17284	21	19	29	21
36834	22	19	29	21
1121	22	20	29	21
25757	23	20	29	21
42576	23	20	30	21
202	23	21	30	21
27750	24	21	30	21
43920	24	22	30	21
11894	24	22	31	21
45474	25	22	31	21
22370	26	22	31	21
2450	26	23	31	21
42567	26	23	32	21
15629	26	23	32	22
36565	26	24	32	22
30669	27	24	32	22
11870	27	24	33	22
38271	27	24	34	22
8270	27	24	34	23
13558	27	24	35	23
24452	27	24	35	24
18001	27	24	36	24
23113	28	24	36	24
12493	28	24	36	25
20200	29	24	36	25
25284	30	24	36	25
34069	30	25	36	25
21100	30	25	37	25
36493	30	25	37	26
38699	30	26	37	26
2431	31	26	37	26
2762	32	26	37	26
23006	33	26	37	26
47788	34	26	37	26
43620	35	26	37	26
26309	36	26	37	26
41654	37	26	37	26
27558	37	27	37	26
8174	37	28	37	26
33925	38	28	37	26
41667	39	28	37	26
18476	40	28	37	26
36759	41	28	37	26
